skill	Id	charclass	skilldesc	* filter	srvstfunc	srvdofunc	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	cltstfunc	cltdofunc	cltprgfunc1	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	aura	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	perdelay	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	delay	stsuccessonly	stsound	ItemCastSound	stsoundclass	castoverlay	ItemCastOverlay	passive	passivestate	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveitype	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	anim	seqtrans	monanim	seqnum	seqinput	minmana	manashift	mana	lvlmana	skpoints	reqlevel	maxlvl	reqskill1	leftskill	interrupt	immediate	attackrank	InTown	AttackNoMana	finishing	progressive	restrict	State1	State2	State3	ItemEffect	ItemCltEffect	ItemTgtDo	ToHit	LevToHit	ToHitCalc	LineOfSight	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	TgtPlaceCheck	InGame	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	srvoverlay	cltoverlaya	cltoverlayb	nocostinstate	usemanaondo	startmana	reqstr	reqdex	reqint	reqvit	reqskill2	reqskill3	periodic	ResultFlags	HitFlags	HitClass	Kick	itypeb2	itypeb3	etypeb1	etypeb2	noammo	cltprgfunc2	cltprgfunc3	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	aitype	aibonus	durability	repeat	checkfunc	stsounddelay	ItemTarget	ItemCheckStart	ItemCltCheckStart	general	scroll	warp	enhanceable	TargetableOnly	SearchEnemyXY	UseAttackRate	cost mult	cost add
Innate Titans	9		innatestrike	BAR - Special	39	2								83									petristrike		((250+ulvl)*(100+stat('profession_duration_mod'.accr)))/100			item_strength_percent	25	item_dexterity_percent	25	hpregen	stat('maxhp'.accr)/1000	skill_armor_percent	10					ln56	dmg %	(250*(100+stat('profession_duration_mod'.accr)))/100	duration				17	stats bonus	2	stats bonus per level					50	dmg %	5	dmg % per level	0	duration loss min	100	duration loss max	8	64																																			druidwerewolf_morph	druidwerewolf_morph																																			h2h		mele						A1	A1	A1			0	0	0	0		1	99		1	1		0		1			1							50												1																																																												1							1	1	1	1		0
Jab	10		jab	Classic	5	7							12	16																										ln34	dmg%										-15	Percent damage base	3	Percent damage per level									8																																						amazon_jab_1																																		h2h		spea						SQ	A1	xx	1		2	4	64	2		1	20		1	1		3		1							1			10	9											1																	weapon_1ht_1	weapon_2ht_1																																						1	1										1	1	1	1	256	1000
Cold Arrow	11		cold arrow	Classic	4		coldarrow	1					11			coldarrow																																													12	damage synergy	7	128														cold	6	4	16	16	16	16	8	4	17	17	17	17	(skill('Ice Arrow'.blvl)) * par8	100	30	30	30																																								rng		miss						A1	A1	xx			2	3	224	2		6	20		1	1		4									1			10	9											1																																																								6			1								1			1	384	3000
Multiple Shot	12		multiple shot	Classic	4	8		1		multipleshotarrow	multipleshotbolt		11	17			multipleshotarrow	multipleshotbolt																						"min(24,ln12)"	# missiles	par3	activation frame	2	triggered		2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.											8	96																																																																							rng		miss						A1	A1	xx			2	6	32	2		6	20	Magic Arrow	1	1		7									1															1																																																								6			1								1			1	384	3000
Kabraxis On-Kill Summoner	13			UQ - Kabraxis		28				kab_killspawnstarter	kab_killspawnstarter	kab_killspawnstarter		28			kab_killspawnstarter																																					synergy									4		50000						50000							mag	50000						50000																	cast_slowmissiles	cast_slowmissiles																																none								SC	SC	xx			0	0	0	0		1	99			1		2									1								1							1																																																																			1					0
Power Strike	14		power strike	Classic	6	2																																																							10	damage synergy	8	128														ltng	1	0	0	0	0	0	16	18	72	72	72	72	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8																																												h2h		spea						A1	A1	xx			2	4	64	2		6	20	Jab	1	1		4		1							1			20	12											1																																																								6											1	1	1	1	384	3000
Shunpo	15		shunpo	oSkill	22	27	shunpocenter						5			shunpocenter																																															8	48														mag	1	1	1	1	1	1	1	1	1	1	1	1	6*stat('dexterity'.base)							1	assassin_chargeup_phoenix_1			psychic_hammer_curse																																	none		spea	nagi					A1	A1	xx			0	7	50	0		1	99		1	1		0					1				1		1				4	1								1																																																								30					2					1	1	1		1		0
Exploding Arrow	16		exploding arrow	Classic	4		explodingarrow	1					11			explodingarrow																																													12	damage synergy	8	128														fire	2	5	12	12	12	12	6	5	14	14	14	14	(skill('Fire Arrow'.blvl)) * par8																																												rng		miss						A1	A1	xx			2	5	80	2		12	20	Fire Arrow	1	1		5									1			20	9											1																																	Multiple Shot																							12			1								1			1	512	8000
Deathstrike	17		deathstrike	"Monster, oSkill"		28				deathstrikecontrol	deathstrikecontrol	deathstrikecontrol		28			deathstrikecontrol																																														8	64														mag	4	4	4	4	4	4	4	4	4	4	4	4	10*ulvl																																												rng		xbow						A1	A1	xx			0	7	40	0		24	99			1		4									1						4		1							1																																																																			1					0
Soulshatter	18		soulshatter	oSkill	3	4	coupdegracebomb						3	83		coupdegracebomb																															10	stun length	0	stun length per level													8	48																																		1	sorceress_thunder_bolt	sorceress_thunder_bolt		psychic_hammer_curse	psychic_hammer_curse																																rng		scyh	knif	scep				A2	A2	xx			0	7	200	0		1	99		1	1		4					1				1											1				1																																																																			1	1		1		0
Black Lotus Strike	19		blacklotusstrike	oSkill	6	11				blacklotus	blacklotus	blacklotus		19			blacklotus	blacklotus	blacklotus																					1	proc ?												1	synergy									0															pois	40	8	4	4	4	4	50	10	5	5	5	5	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50	75	25	25	25	stat('skill_poison_dur'.accr)																																							h2h		mele						A1	A1	A1			0	7	18	5		1	99		1	1		5		1	1		1				1															1																																																																			1	1	1	1		0
Death Blossom	20		deathblossom	oSkill	6	11				blossom	blossom	blossom		19			blossom	blossom	blossom																					1	proc ?												1	synergy									3															fire	140	28	14	14	14	14	160	32	16	16	16	16	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50																																												h2h		mele						A1	A1	A1			0	7	18	5		1	99		1	1		5		1	1		1				1															1																																																																			1	1	1	1		0
Holy Trap	21		holytrap	oSkill			holymine									holymine																																															0															fire	8	2	1	1	1	1	24	6	3	3	3	3	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50								paladin_aura_prayer	paladin_aura_prayer		suncast2																																	none								SC	SC	xx			0	7	80	0		1	99		1	1		2									1															1																																																																			1					0
Fear Bomb Totem	22		fearbombtotem	oSkill	15	31							20	31			corpseexplosion						devilish					x_signet70	lvl-1	passive_dodge	10+skill('Necropolis'.blvl)*2	passive_avoid	10+skill('Necropolis'.blvl)*2							lvl*15	hp%	ulvl	pet lvl				195	life bonus	100	life bonus per level													8																																			1	druid_firecast_b	druid_firecast_b						passive1	lvl	maxhp	ln12										totemHOWL	totemic	4+stat('new_totem_syn'.accr)	NU	Hounfor State	stat('hounfor_active'.accr)											none								SC	SC	xx			20	7	80	-4		1	99			1		0					1				1							1		2	1					1																																																								1											1					0
Merc Spore Shot	23		sporeshot	Mercenary			mercicspawner1									mercicspawner1																								2+lvl+(skill('Nova Shot'.blvl)/par4)	number of targets on last split												1	synergy (1/x)									8	48														mag	1						2																																																		rng		miss						A1	A1	A1			0	7	60	0		6	99		1	1		0									1															1																																																																			1			1		0
OHMAN	24		ohman	oSkill			ohmanbolt									ohmanbolt																																															8	16																																	40																																						rng		miss						A1	A1	xx			0	8	9001	0		-10	99		1	1		4									1															1																																																											1								1			1		0
Kabraxis Rises	25			UQ - Kabraxis		8	skull_blastwavestart			kb_braxispawnstarter				17		skull_blastwavestart	kb_braxispawnstarter	kb_braxispawnstarter																						1	# missiles	0	activation frame																				4																																																																								none								SC	SC	xx			0	0	0	0		1	99			1		1									1															1																																																																			1					0
Mon Engage Frenzy Mode	26			Monster		25																	frenzygraphic		(500*(100+stat('profession_duration_mod'.accr)))/100			velocitypercent	25	attackrate	100	stunlength	25	energy	150																												8																																					barbarian_battlecry_1	barbarian_battlecry_1																																		none								SC	SC	xx				0	0	0		1	99			1		4	1								1											1	1			1																																																													1						1					0
Spin To Win	27		spintowin	oSkill	38	76							31	45									whirlwind																	ln12	dmg%						100	dmg %	20	dmg % per level	5	attacks per tick											8	80																																		1																																					none		mele						SQ	A1	xx	10		0	7	120	0		1	99		1			3		1			1				1			50	10											1																																																								30	1										1	1				0
Rock Shock	28		rockshock	oSkill	10	14				rockshock	rockshock	rockshock		22			rockshock	rockshock	rockshock							par1														20	radius	par3	hits				20	radius of jump to next target			3	targets	0										8	80														mag	3	3	3	3	3	3	3	3	3	3	3	3	(5*ulvl)/4																																												h2h		mele						A1	A1	xx			0	7	40	0		-10	99		1	1		8		1			1				1															1																																																								30											1	1	1	1		0
Unholy Armor	29		unholyarmor	oSkill		25																	harbinger		"min((((((220*lvl) * (par2-par1))/(100 * (lvl+50)) + par1))),par3)"			normal_damage_reduction	50000	magic_damage_reduction	50000																32	min duration	200	max duration	450	duration cap			750	timer min							8																																		par5			shrine_armorboost	shrine_armorboost	psicast																																	none								SC	SC	xx			0	7	40	0		-10	99			1		0	1				1				1											1	1			1																																																													1						1					0
Rain of Bombs	30		rainofbombs	"Monster, oSkill"		28				bombscenter	bombscenter	bombscenter		28			bombscenter																																														5															fire	80	16	8	8	8	8	120	24	12	12	12	12	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50								sorceress_cast_fire	sorceress_cast_fire		psychic_hammer_curse																																	none								SC	SC	xx			0	7	64	10		1	99			1		4									1						4		1							1																																																																			1					0
Witch Cube Aura	31			Monster		66															1	42371	witchquestaura	witchquestaura		ln12	5	levelchallenge_kill_check	2500+lvl																		15	radius	2	radius per level													8																																																																								none										xx				0	0	0		1	99			1		6	1																							1																																																																			1					0
PDeathstrike	32		deathstrike	oSkill		28				deathstrikecontrolP	deathstrikecontrolP	deathstrikecontrolP		28			deathstrikecontrolP																																														8	32														mag	4	4	4	4	4	4	4	4	4	4	4	4	(5*ulvl)/4																																												rng		xbow						A1	A1	xx			0	7	40	0		24	99			1		4									1						4		1							1																																																																			1					0
Mon Feyr Bolt	33			Monster		8				feyrbolt				17			feyrbolt	feyrbolt				3		freakingnightmare	(par3*(100+stat('profession_duration_mod'.accr)))/100	ln56		velocitypercent	-75	nightmare_no_regen	1									2	number of missiles	0	activation frame																				8	64																																					mindping	psycast																																	none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																												1							1					0
Item Superbeast	34		superbeast_x	oSkill		18																	growl		250			passive_fire_mastery	((440*lvl) * (par6-par5))/(100 * (lvl+50)) + par5	passive_ltng_mastery	((440*lvl) * (par6-par5))/(100 * (lvl+50)) + par5	passive_cold_mastery	((440*lvl) * (par6-par5))/(100 * (lvl+50)) + par5	passive_pois_mastery	((440*lvl) * (par6-par5))/(100 * (lvl+50)) + par5	passive_pm_mastery	((440*lvl) * (par6-par5))/(100 * (lvl+50)) + par5	fade	5												8	dmg % bonus min	458	dmg % bonus max	6	dmg % elem bonus min	56	dmg % elem bonus max	15000	duration	5000	duration per level	8																																				paladin_handofgod_cast	paladin_handofgod_cast																																			none								SC	SC	xx			0	7	1332	0		-10	99		1	1		4	1				1				1															1																																																							1												1					0
Mon Binding Circle	35			Monster		8				bindingcirclerangeddelta				17			bindingcirclerangeddelta	bindingcirclerangeddelta					devilish	devilish	25			fireresist	-1000	lightresist	-1000	coldresist	-1000	poisonresist	-1000	magicresist	-1000	damageresist	-1000	1	number of missiles																						8																																																																								none								SC	SC	xx				0	0	0		1	99		1	1		2									1															1																																																																			1			1		0
Fire Bolt	36		fire bolt	Classic			firebolt									firebolt																																													16	damage synergy	5															fire	6	3	18	18	18	18	12	3	20	20	20	20	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8								sorceress_cast_fire	sorceress_cast_fire		fire_cast_1	fire_cast_1																																none								SC	SC	xx			2	6	20	0		1	20		1	1		2									1															1																																																								1											1				256	1000
PRain of Bombs	37		rainofbombs	oSkill		28				bombscenterP	bombscenterP	bombscenterP		28			bombscenterP																																														3															fire	80	16	8	8	8	8	120	24	12	12	12	12	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50								sorceress_cast_fire	sorceress_cast_fire		psychic_hammer_curse																																	none								SC	SC	xx			0	7	64	10		1	99			1		4									1						4		1							1																																																																			1					0
Charged Bolt	38		charged bolt	Classic		17				chargedbolt	chargedbolt	chargedbolt		23			chargedbolt																							"min(24,ln12)"	# bolts						3	Bolts to send out	1	Additional bolts per level											6	damage synergy	5															ltng	4	1	2	2	2	2	8	1	2	2	2	2	(skill('Lightning'.blvl))*par8								sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1	light_cast_1																																none								SC	SC	xx			2	3	192	8		1	20		1	1		1									1															1																																																								1											1				256	1000
Mon Detonator Fireball	39			Monster		8				detonatorfireball				17			detonatorfireball	detonatorfireball	boomcast																					1	number of missiles																						8																																					sorceress_cast_fire			druid_fire_cast_2																																none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Mon Fire Flower	40			Monster		8				powercrystalarrow				17			powercrystalarrow	powercrystalarrow	boomcast																					1	number of missiles																						8															fire																					sorceress_cast_fire	sorceress_cast_fire																																			none								A1	A1	xx			0	8	50	0		-10	99		1	1		1									1															1																																																																			1			1		0
Mon Fire Barrier	41			Monster		8				mahawallmaker				17			mahawallmaker	mahawallmaker																						1	number of missiles																						8															fire																					druid_firecast_a	druid_firecast_a																																			none								SC	SC	xx			0	0	0	0		1	99		1	1		1									1															1																																																																			1			1		0
Static Field	42		static field	Classic		20																34691				ln12														par4	damage %	par3	min damage				5	Base radius of effect.	1	Level radius bonus.	1	Minimum Damage.	25	Percent Damage.									8															ltng																					sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1	light_cast_1																																none								SC	SC	xx			2	7	36	0		6	20			1		10									1						4									1																																																								6											1				384	3000
Mon Force Prison	43			Monster		28				forceprison	forceprison	forceprison		28			forceprison									ln12																																					8																																				shrine_ofenirhs			psicast																																	none								SC	SC	xx				0	0	0		1	99			1		6									1						4		1							1																																																								24											1					0
Frost Nova	44		frost nova	Classic		22				frostnova	frostnova	frostnova		25			frostnova																														9	radius of freeze	3	additional radius/level													7															cold	10						12							200							sorceress_cast_cold	sorceress_cast_cold		ice_cast_2	ice_cast_2																																none								SC	SC	SC			2	6	72	2		6	20			1		6									36	10														1																																																								6											1				384	3000
Baal Plasma Buff	45			Monster		8				plasmabuffcenter				17		orbshatter	plasmabuffcenter	plasmabuffcenter				278530		plasmashield	ln12			magic_damage_reduction	-100000	normal_damage_reduction	-100000									1	number of missiles	0	activation frame				50	duration	0	duration per earlier difficulty													8																																					object_glass_break_1																																			none								SC	SC	xx				0	0	0		1	99		1	1		1									1															1																																																																			1					0
Cat Familiar Aura	46			SOR - Subskill		65															1	73731	bonusforcuddling	bonusforcuddling		30	10	item_fastercastrate	15	item_energy_percent	25	item_allskills	1+(stat('skill_bloodymary_bonus'.accr)/4)														10	energy	10	energy per level	25	fcr											8																																											damagepercent	10																												none										xx				0	0	0		1	99			1		6	1																							1																																																																			1					0
Apple Healing Spell	47			Special		18																	mega_apple		15000			hpregen	((stat('maxhp'.accr)/3000)*(100+stat('item_faster_potions'.accr)))/100	damagepercent	stat('skill_elixirs_synergy'.accr)	item_allskills	stat('skill_paganheart_synergy'.accr)																														8																																																																								none								SC	SC	SC			0	0	0	0		-10	99			1		0									1															1																																																							1												1			1		0
Nova	48		nova	Classic		22				nova	nova	nova		25			nova																														12	number of missiles	4	additional missiles per level													8															ltng	2	2	2	2	2	2	20	20	20	20	20	20	(((50+(10*ulvl))*(100+((((260*(stat('energy'.accr)+10)))/(stat('energy'.accr)+250))+(skill('DSK 2'.pst2)))))/100)-50								sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1	light_cast_1																																none								SC	SC	xx			2	6	120	2		12	20	Static Field		1		2									36	10														1																																																								12											1				512	8000
Lightning	49		lightning	Classic			lightningbolt									lightningbolt																															10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	6															ltng	1	0	0	0	0	0	40	8	28	28	28	28	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8								sorceress_cast_lightning	sorceress_cast_lightning		light_cast_1	light_cast_1																																none								SQ	SC	xx	12		2	5	128	2		12	20	Charged Bolt	1	1		6									1															1																																																								12											1			1	512	8000
Hammertime Item Style	50		hammertime	oSkill			hammertimestarter									hammertimestarter																															375	lockout length	-10	lockout length per level													8	96																																																																							rng								A1	A1	xx			0	7	640	0		-10	99		1	1		2									1															1																																																																			1			1		0
Fire Wall	51		fire wall	Classic		24				firewallmaker	firewall			26			firewallmaker																																														2															fire	15	9	21	21	21	21	20	9	21	21	21	21							35		sorceress_cast_fire	sorceress_cast_fire		fire_cast_2	fire_cast_2																																none								SC	SC	SC			2	6	176	2		18	20	Blaze		1		4									1						4		1							1																																																								18											1				640	16000
Vindicate	52		vindicate	PAL - Special		68				battleorders				25			battleorders						vindicated	vindicated	par1			hpregen	(stat('maxhp'.accr)*2)/(2250-(ulvl*10))	damagepercent	50+(ulvl*2)+stat('passive_vindicate_adddmg'.accr)																750	duration															8																																				necromancer_curse_cast	necromancer_curse_cast																																			none								SC	SC	S2			0	0	0	0		-10	99			1		10					1				1															1																																																																			1					0
Snake Poison	53			Monster		30							18	30								3		snakepoison	250	2		hpregen	(-100)*lvl	velocitypercent	-15	attackrate	-25	item_fastercastrate	-25																												8																																				necromancer_curse_cast	serpentdemon_attack_1																																			none								SC	SC	S2				0	0	0		1	99			1		10									1						4									1																																																								1											1					0
Teleport	54		teleport	Classic		27																																																									8																																				sorceress_teleport	sorceress_teleport		teleport	teleport																																none								SC	SC	xx			2	7	96	-4		18	20	Telekinesis		1		0									1		1													1																																																								18					2					1	1				640	16000
Curse of the Mahasattva	55			Monster		30							18	30								3		curseofkali	(125*(100+stat('profession_duration_mod'.accr)))/100	10		maxfireresist	(-1)*ln12	maxcoldresist	(-1)*ln12	maxlightresist	(-1)*ln12	maxpoisonresist	(-1)*ln12												25	max resist penalty	5	max resist penalty per level													8																																				necromancer_curse_cast	golemfire_spawn	golemfire_spawn																																		none								SC	SC	S2				0	0	0		1	99			1		10									1						4									1																																																								1											1					0
Ashes to Ashes	56			Monster			ashvial		1							ashvial																																															8																																																																								none								SC	SC	xx				0	0	0	((ulvl-6)<((blvl-1-stat('skill_more'.accr))*6))?(stat('newskills'.accr)+1):1	1	99		1	1		0									1															1																weapon_throw_1																																																			1					0
Mana Tide Totem	57		manatidetotem	oSkill	15	31							20	31			corpseexplosion						devilish					passive_dodge	10+skill('Necropolis'.blvl)*2	passive_avoid	10+skill('Necropolis'.blvl)*2									lvl*15	hp%	ulvl	pet lvl				145	life bonus	50	life bonus per level	100	mana recovery bonus	100	mana recovery bonus per level									8																																			1	druid_firecast_b	druid_firecast_b						passive1	lvl	maxhp	ln12*256										totem8	totemic	4+stat('new_totem_syn'.accr)	NU	Totemic Aura Mana Tide	lvl	Hounfor State	stat('hounfor_active'.accr)									none								SC	SC	xx			0	7	36	8		-10	99			1		0					1											1		2	1					1																																																								1											1					0
