name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable																																																			
Aerin Shield (Grade 6)	100		4	1	824	1448			232	0	1	68		85	25	96861		e33	e33		404	pa3	spk	e33	e33	e33		7	2	4	1	4	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Aerin Shield (Sacred)	100		1	1	1807	2119			445	0	1	68		85	30	96861		@60	@60		404	pa3	spk	@60	@60	@60		7	2	4	1	4	2	flppa3	invpa4														qaur		item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Ancient Armor (Grade 1)			20	1	243	485		15	97	0		111		19	5	1841		614	614		401	aar	aar	614	614	614		1	2	3	1	2	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255		1		1	1					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Grade 2)			20	1	386	753		15	141	0		111		33	10	7290		660	660		403	aar	aar	660	660	660		1	2	3	1	3	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Grade 3)			20	1	580	1108		15	204	0		111		49	15	21912		706	706		404	aar	aar	706	706	706		1	2	3	1	4	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Grade 4)			20	1	829	1571		15	296	0		111		63	19	49273		752	752		404	aar	aar	752	752	752		1	2	3	1	4	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Grade 5)			20	1	1155	2168		15	429	0		111		78	23	101456		798	798		405	aar	aar	798	798	798		1	2	3	1	5	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Grade 6)			20	1	1565	2935		15	622	0		111		90	27	179626		844	844		406	aar	aar	844	844	844		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						tors	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Ancient Armor (Sacred)			2	1	2875	3560		15	666	0		111		90	30	179626		@15	@15		406	aar	aar	@15	@15	@15		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						qtor		item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Antlers (Grade 1)	100		4	1	60	89			50	0		42		9	3	224		w12	w12		402	dr3	dr3	w12	w12	w12			2	2	1	2	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Grade 2)	100		4	1	109	151			73	0		42		24	7	1406		w32	w32		402	dr3	dr3	w32	w32	w32			2	2	1	2	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Grade 3)	100		4	1	176	239			105	0		42		39	11	4698		w52	w52		402	dr3	dr3	w52	w52	w52			2	2	1	2	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Grade 4)	100		4	1	259	349			154	0		42		53	16	11245		w72	w72		403	dr3	dr3	w72	w72	w72			2	2	1	3	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Grade 5)	100		4	1	368	490			222	0		42		68	20	23993		w92	w92		403	dr3	dr3	w92	w92	w92			2	2	1	3	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Grade 6)	100		4	1	504	667			323	0		42		82	24	45031		e22	e22		404	dr3	dr3	e22	e22	e22			2	2	1	4	1	flpdr3	invdr3														pelt	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Antlers (Sacred)	100		1	1	949	1031			450	0		42		82	30	45031		@49	@49		404	dr3	dr3	@49	@49	@49			2	2	1	4	1	flpdr3	invdr3														qplt		item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Aspis (Grade 1)			10	1	84	162		5	30	59	1	67		10	3	445		8@N	8@N		401	lrg	buc	8@N	8@N	8@N		7	2	3	1	1	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Grade 2)			10	1	140	258		5	44	86	1	67		25	7	2913		9@N	9@N		402	lrg	buc	9@N	9@N	9@N		7	2	3	1	2	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Grade 3)			10	1	218	386		5	63	124	1	67		39	12	9439		1@O	1@O		403	lrg	buc	1@O	1@O	1@O		7	2	3	1	3	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Grade 4)			10	1	322	558		5	91	180	1	67		54	16	24381		2@O	2@O		403	lrg	buc	2@O	2@O	2@O		7	2	3	1	3	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Grade 5)			10	1	452	776		5	133	261	1	67		68	20	51512		3@O	3@O		404	lrg	buc	3@O	3@O	3@O		7	2	3	1	4	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Grade 6)			10	1	615	1052		5	192	378	1	67		83	25	101095		4@O	4@O		404	lrg	buc	4@O	4@O	4@O		7	2	3	1	4	2	flplrg	invxrgu														ishd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Aspis (Sacred)			1	1	1311	1530		5	497	559	1	67		83	30	101095		5@O	5@O		404	lrg	buc	5@O	5@O	5@O		7	2	3	1	4	2	flplrg	invxrgu														sisd		item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Assault Helmet (Grade 1)	100		4	1	84	124			70	0		53		13	4	467		w18	w18		402	ba5	bhm	w18	w18	w18			2	2	1	2	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Grade 2)	100		4	1	145	208			101	0		53		27	8	2224		w38	w38		402	ba5	bhm	w38	w38	w38			2	2	1	2	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Grade 3)	100		4	1	229	317			148	0		53		41	12	6579		w58	w58		402	ba5	bhm	w58	w58	w58			2	2	1	2	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Grade 4)	100		4	1	335	460			214	0		53		56	17	16057		w78	w78		403	ba5	bhm	w78	w78	w78			2	2	1	3	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Grade 5)	100		4	1	474	644			310	0		53		71	21	33783		w98	w98		403	ba5	bhm	w98	w98	w98			2	2	1	3	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Grade 6)	100		4	1	650	877			450	0		53		85	25	62943		e28	e28		404	ba5	bhm	e28	e28	e28			2	2	1	4	1	flpba5	invba4														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Assault Helmet (Sacred)	100		1	1	1197	1310			456	0		53		85	30	62943		@55	@55		404	ba5	bhm	@55	@55	@55			2	2	1	4	1	flpba5	invba4														qphm		item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 1)			4	1	39	75			0	21	1	29		3	0	113		01!	01!		401	buc	buc	01!	01!	01!		7	2	2	1	1	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 2)			4	1	77	130			0	31	1	29		17	5	837		02!	02!		402	buc	buc	02!	02!	02!		7	2	2	1	2	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 3)			4	1	127	201			0	45	1	29		32	9	3336		03!	03!		403	buc	buc	03!	03!	03!		7	2	2	1	3	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 4)			4	1	193	299			0	66	1	29		47	14	9085		04!	04!		403	buc	buc	04!	04!	04!		7	2	2	1	3	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 5)			4	1	276	417			0	95	1	29		61	18	19430		05!	05!		404	buc	buc	05!	05!	05!		7	2	2	1	4	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Grade 6)			4	1	381	571			0	139	1	29		76	22	38623		06!	06!		404	buc	buc	06!	06!	06!		7	2	2	1	4	2	flpbuc	invxmlu														azsd	tier	item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Athulua's Hand (Sacred)			1	1	1236	1331			0	349	1	29		76	30	38623		07!	07!		404	buc	buc	07!	07!	07!		7	2	2	1	4	2	flpbuc	invxmlu														sasz		item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Avenger Guard (Grade 1)	100		4	1	102	152			85	0		59		17	5	804		w19	w19		402	ba5	bhm	w19	w19	w19			2	2	1	2	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Grade 2)	100		4	1	173	247			122	0		59		32	9	3428		w39	w39		402	ba5	bhm	w39	w39	w39			2	2	1	2	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Grade 3)	100		4	1	269	377			178	0		59		46	14	9347		w59	w59		402	ba5	bhm	w59	w59	w59			2	2	1	2	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Grade 4)	100		4	1	392	543			259	0		59		61	18	21698		w79	w79		403	ba5	bhm	w79	w79	w79			2	2	1	3	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Grade 5)	100		4	1	550	759			375	0		59		76	23	44411		w99	w99		403	ba5	bhm	w99	w99	w99			2	2	1	3	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Grade 6)	100		4	1	752	1028			544	0		59		90	27	81125		e29	e29		404	ba5	bhm	e29	e29	e29			2	2	1	4	1	flpba5	invba5														phlm	tier	item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Avenger Guard (Sacred)	100		1	1	1247	1385			461	0		59		90	30	81125		@56	@56		404	ba5	bhm	@56	@56	@56			2	2	1	4	1	flpba5	invba5														qphm		item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1																																																			
Banded Plate (Grade 1)			10	1	243	490			0	91		110		19	6	2070		4@I	4@I		401	ful	ful	4@I	4@I	4@I		1	2	3	1	2	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Grade 2)			10	1	391	757			0	132		110		33	10	8433		5@I	5@I		403	ful	ful	5@I	5@I	5@I		1	2	3	1	3	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Grade 3)			10	1	586	1119			0	191		110		48	14	24785		6@I	6@I		404	ful	ful	6@I	6@I	6@I		1	2	3	1	4	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Grade 4)			10	1	843	1590			0	277		110		62	19	56670		7@I	7@I		404	ful	ful	7@I	7@I	7@I		1	2	3	1	4	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Grade 5)			10	1	1176	2194			0	402		110		77	23	117999		8@I	8@I		405	ful	ful	8@I	8@I	8@I		1	2	3	1	5	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Grade 6)			10	1	1592	2969			0	583		110		90	27	200000		9@I	9@I		406	ful	ful	9@I	9@I	9@I		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						stor	tier	item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Banded Plate (Sacred)			1	1	3055	3743			0	627		110		90	30	200000		1@J	1@J		406	ful	ful	1@J	1@J	1@J		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						sstr		item_platearmor	12	item_platearmor			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 1)			20	1	75	103			45	0		43		8	2	198		629	629		401	mbl	mbl	629	629	629		16	2	1	1	1	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			1			2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 2)			20	1	137	176			65	0		43		23	7	1309		675	675		402	mbl	mbl	675	675	675		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			1			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 3)			20	1	220	276			95	0		43		37	11	4229		721	721		402	mbl	mbl	721	721	721		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			4			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 4)			20	1	325	405			137	0		43		52	15	10741		767	767		402	mbl	mbl	767	767	767		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			0			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 5)			20	1	460	572			199	0		43		66	20	22471		813	813		402	mbl	mbl	813	813	813		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			5			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Grade 6)			20	1	631	776			288	0		43		80	24	42312		859	859		402	mbl	mbl	859	859	859		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	item_belt	12	item_belt			5			3			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Belt (Sacred)			2	1	1187	1260			529	0		43		80	30	42312		@30	@30		402	mbl	mbl	@30	@30	@30		16	2	1	1	2	1	flpmbl	invmbl														belt	qblt	item_belt	12	item_belt			5			6			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Blackguard Helm (Grade 1)			4	1	42	61			0	29		29		9	3	159		50!	50!		402	bhm	dr1	50!	50!	50!			2	2	1	2	1	flpbhm	invbhmu														pzhm	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Blackguard Helm (Grade 2)			4	1	80	107			0	42		29		23	7	999		51!	51!		402	bhm	dr1	51!	51!	51!			2	2	1	2	1	flpbhm	invbhmu														pzhm	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Blackguard Helm (Grade 3)			4	1	131	172			0	61		29		38	12	3555		52!	52!		402	bhm	dr1	52!	52!	52!			2	2	1	2	1	flpbhm	invbhmu														pzhm	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Blackguard Helm (Grade 4)			4	1	197	257			0	89		29		53	16	9174		53!	53!		403	bhm	dr1	53!	53!	53!			2	2	1	3	1	flpbhm	invbhmu														pzhm	tier	item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
