description	enabled	* type	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	min diff	version	ladder	*eol
Trophy Carrier - Ureh	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[05						useitem				blessings-counter			1	1	regen-mana			11	15	block3			50	50	move3			5	5	dmg-norm			7	13																																																														0
Trophy Carrier - Dunc	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[06						useitem				blessings-counter			1	1	dmg-demon			101	150	dmg-undead			101	150	heal-melee			41	50	hp			101	150																																																														0
Trophy Carrier - Jday	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[03						useitem				blessings-counter			1	1	hp-minion			41	50	dmg-minion			41	50	res-all-minion			11	20	stance-radius			6	10																																																														0
Trophy Carrier - Cov	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[08						useitem				blessings-counter			1	1	extra-all			11	15	enr-factor			21	30	enr-factor%			1	5	mana%			6	10																																																														0
Trophy Carrier - Tran	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[09						useitem				blessings-counter			1	1	mag%			41	50	gold%			50	100	dmg-mag			50	50	red-dmg			50	50																																																														0
Trophy Carrier - Quov	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[10						useitem				blessings-counter			1	1	abs-fire			1	5	abs-cold			1	5	abs-ltng			1	5	res-all			15	20																																																														0
Trophy Carrier - Astro	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[11						useitem				blessings-counter			1	1	allskills			0	1	slow			6	10	res-curse			21	30																																																																			0
Trophy Carrier - Azmo	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[12						useitem				blessings-counter			1	1	skill-dur			41	50	regen			51	100	half-freeze		1	1	1	hp-mana			51	100																																																														0
Trophy Carrier - Vizjun	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[13						useitem				blessings-counter			1	1	ac-global			41	50	ac			101	500	red-dmg%			1	5	balance3			41	50																																																														0
Trophy Carrier - Laz	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[14						useitem				blessings-counter			1	1	hp%			6	15	res-all-max			1	2	swing3			50	50	cast3			50	50																																																														0
Trophy Carrier - Kabraxis	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[17						useitem				blessings-counter			1	1	pierce-fire			3	7	pierce-ltng			3	7	pierce-cold			3	7	pierce-pois			3	7																																																														0
Trophy Carrier - Uldyssian	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[16						useitem				blessings-counter			1	1	dmg-fire			50	75	dmg-ltng			50	75	dmg-cold			50	75																																																																			0
Trophy Carrier - Arihan	1	UQ - Startled Witch	16	219	0		2	"ths,uni"	[15						useitem				blessings-counter			1	1	str%			6	10	enr%			6	10	vit%			6	10	dex%			6	10																																																														0
Ancient Book	1	UQ - Brachyceran					7	|ab	#X1	#X2	#X3	#X4	#X5	#X6	|bc																																																																																										0
Ancient Book	1	UQ - Brachyceran	18	452	0		2	BookOfLaz	|bc						useitem				upgrade1			1	1	desc-bottom		11368	6	6	allskills			1	1	skillcap			1	1	all-stats			10	10																																																														0
i am richer	1	I Am Rich					4	[17	[16	[14	ElderVial				NewSuperGem	95																																																																																							100		0
level challenge 1 decoy	1	Challenge - LC1	4	12	49		3	x1x	x2x	x3x					x1x																													x2x																													x3x																														100		0
level challenge 1	1	Challenge - LC1	4	12	59		3	x1x	x2x	x3x					Sunstone of the Twin Seas	100		100																																																																																					100		0
level challenge 1	1	Challenge - LC1	4	12	69		5	x1x	x2x	x3x	"qum,qty=2"				Sunstone of the Twin Seas	100		100																																																																																					100		0
level challenge 1	1	Challenge - LC1	4	12	79		6	x1x	x2x	x3x	"qum,qty=4"				Sunstone of the Twin Seas	100		100																																																																																					100		0
level challenge 1	1	Challenge - LC1	4	12	89		7	x1x	x2x	x3x	"qum,qty=6"				Sunstone of the Twin Seas	100		100																																																																																					100		0
level challenge 1	1	Challenge - LC1	4	12	99		8	x1x	x2x	x3x	"qum,qty=8"				Sunstone of the Twin Seas	100		100																																																																																					100		0
level challenge 1	1	Challenge - LC1	4	12	199		9	x1x	x2x	x3x	"qum,qty=10"				Sunstone of the Twin Seas	100		100																																																																																					100		0
ennead	1	Challenge - Ennead				ama	1	htor							Sacred Sunstone	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				ass	1	htor							Shadow Vortex	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				bar	1	htor							Worldstone Orb	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				dru	1	htor							Caoi Dulra Fruit	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				nec	1	htor							Soulstone Shard	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				pal	1	htor							Orb of Divinity	120		120																																																																																					100		0
ennead	1	Challenge - Ennead				sor	1	htor							Nexus Crystal	120		120																																																																																					100		0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy01						useitem				levelreq			1	1	str			2	8																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy02						useitem				levelreq			1	1	dex			2	8																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy03						useitem				levelreq			1	1	vit			2	8																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy04						useitem				levelreq			1	1	enr			2	8																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy05						useitem				levelreq			3	3	str			5	15	str%			0	2																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy06						useitem				levelreq			3	3	dex			5	15	dex%			0	2																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy07						useitem				levelreq			3	3	vit			5	15	vit%			0	2																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy08						useitem				levelreq			3	3	enr			5	15	enr%			0	2																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy09						useitem				levelreq			5	5	str			10	20	str%			2	3																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy10						useitem				levelreq			5	5	dex			10	20	dex%			2	3																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy11						useitem				levelreq			5	5	vit			10	20	vit%			2	3																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy12						useitem				levelreq			5	5	enr			10	20	enr%			2	3																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy13						useitem				levelreq			2	2	gold%			1	4																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy14						useitem				levelreq			3	3	gold%			3	7																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy15						useitem				levelreq			4	4	gold%			6	10																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy16						useitem				levelreq			2	2	mag%			1	4																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy17						useitem				levelreq			3	3	mag%			3	7																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy18						useitem				levelreq			4	4	mag%			6	10																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy19						useitem				levelreq			2	2	all3			1	3																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy20						useitem				levelreq			3	3	all3			2	6																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy21						useitem				levelreq			4	4	all3			4	8																																																																													0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy22						useitem				levelreq			18	18	ama			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy23						useitem				levelreq			18	18	ass			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy24						useitem				levelreq			18	18	bar			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy25						useitem				levelreq			18	18	dru			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy26						useitem				levelreq			18	18	nec			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy27						useitem				levelreq			18	18	sor			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy28						useitem				levelreq			18	18	pal			1	1	all-stats			-5	-5																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy29						useitem				levelreq			1	1	hp			0	20	mana			0	20																																																																								0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy30						useitem				levelreq			3	3	hp			5	30	hp%			0	2	mana			5	30	mana%			0	2																																																														0
NextGenMOs - Cycles	1	UQ - Triune	16	92	80		2	LucionsSoulstone2	cy31						useitem				levelreq			5	5	hp			10	50	hp%			1	3	mana			10	50	mana%			1	3																																																														0
gem upgrade: 2 Chipped Amethysts -> Flawed Amethyst	1	Gem Upgrade					2	"gcv,qty=2"							gfv																																																																																										0
gem upgrade: 2 Flawed Amethysts -> Amethyst	1	Gem Upgrade					2	"gfv,qty=2"							gsv																																																																																										0
gem upgrade: 2 Amethysts -> Flawless Amethyst	1	Gem Upgrade					2	"gsv,qty=2"							gzv																																																																																										0
gem upgrade: 2 Flawless Amethysts -> Perfect Amethyst	1	Gem Upgrade					2	"gzv,qty=2"							gpv																																																																																										0
gem upgrade: 2 Chipped Rubies -> Flawed Ruby	1	Gem Upgrade					2	"gcr,qty=2"							gfr																																																																																										0
gem upgrade: 2 Flawed Rubies -> Ruby	1	Gem Upgrade					2	"gfr,qty=2"							gsr																																																																																										0
gem upgrade: 2 Rubies -> Flawless Ruby	1	Gem Upgrade					2	"gsr,qty=2"							glr																																																																																										0
gem upgrade: 2 Flawless Rubies -> Perfect Ruby	1	Gem Upgrade					2	"glr,qty=2"							gpr																																																																																										0
gem upgrade: 2 Chipped Sapphires -> Flawed Sapphire	1	Gem Upgrade					2	"gcb,qty=2"							gfb																																																																																										0
gem upgrade: 2 Flawed Sapphires -> Sapphire	1	Gem Upgrade					2	"gfb,qty=2"							gsb																																																																																										0
gem upgrade: 2 Sapphires -> Flawless Sapphire	1	Gem Upgrade					2	"gsb,qty=2"							glb																																																																																										0
gem upgrade: 2 Flawless Sapphires -> Perfect Sapphire	1	Gem Upgrade					2	"glb,qty=2"							gpb																																																																																										0
gem upgrade: 2 Chipped Topazes -> Flawed Topaz	1	Gem Upgrade					2	"gcy,qty=2"							gfy																																																																																										0
gem upgrade: 2 Flawed Topazes -> Topaz	1	Gem Upgrade					2	"gfy,qty=2"							gsy																																																																																										0
gem upgrade: 2 Topazes -> Flawless Topaz	1	Gem Upgrade					2	"gsy,qty=2"							gly																																																																																										0
gem upgrade: 2 Flawless Topazes -> Perfect Topaz	1	Gem Upgrade					2	"gly,qty=2"							gpy																																																																																										0
gem upgrade: 2 Chipped Emeralds -> Flawed Emerald	1	Gem Upgrade					2	"gcg,qty=2"							gfg																																																																																										0
gem upgrade: 2 Flawed Emeralds -> Emerald	1	Gem Upgrade					2	"gfg,qty=2"							gsg																																																																																										0
gem upgrade: 2 Emeralds -> Flawless Emerald	1	Gem Upgrade					2	"gsg,qty=2"							glg																																																																																										0
gem upgrade: 2 Flawless Emeralds -> Perfect Emerald	1	Gem Upgrade					2	"glg,qty=2"							gpg																																																																																										0
gem upgrade: 2 Chipped Diamonds -> Flawed Diamond	1	Gem Upgrade					2	"gcw,qty=2"							gfw																																																																																										0
gem upgrade: 2 Flawed Diamonds -> Diamond	1	Gem Upgrade					2	"gfw,qty=2"							gsw																																																																																										0
gem upgrade: 2 Diamonds -> Flawless Diamond	1	Gem Upgrade					2	"gsw,qty=2"							glw																																																																																										0
gem upgrade: 2 Flawless Diamonds -> Perfect Diamond	1	Gem Upgrade					2	"glw,qty=2"							gpw																																																																																										0
gem upgrade: 2 Chipped Skulls -> Flawed Skull	1	Gem Upgrade					2	"skc,qty=2"							skf																																																																																										0
gem upgrade: 2 Flawed Skulls -> Skull	1	Gem Upgrade					2	"skf,qty=2"							sku																																																																																										0
gem upgrade: 2 Skulls -> Flawless Skull	1	Gem Upgrade					2	"sku,qty=2"							skl																																																																																										0
gem upgrade: 2 Flawless Skulls -> Perfect Skull	1	Gem Upgrade					2	"skl,qty=2"							skz																																																																																										0
gem upgrade: 2 Chipped Rainbow Gems -> Flawed Rainbow Gem	1	Gem Upgrade					2	"yo1,qty=2"							yo2																																																																																										0
gem upgrade: 2 Flawed Rainbow Gems -> Rainbow Gem	1	Gem Upgrade					2	"yo2,qty=2"							yo3																																																																																										0
gem upgrade: 2 Rainbow Gems -> Flawless Rainbow Gem	1	Gem Upgrade					2	"yo3,qty=2"							yo4																																																																																										0
gem upgrade: 2 Flawless Rainbow Gems -> Perfect Rainbow Gem	1	Gem Upgrade					2	"yo4,qty=2"							yo5																																																																																										0
gem upgrade	1	Gem Upgrade					2	"g$a,qty=2"							g$b																																																																																										0
gem upgrade	1	Gem Upgrade					2	"g$b,qty=2"							g$c																																																																																										0
gem upgrade	1	Gem Upgrade					2	"g$c,qty=2"							g$d																																																																																										0
gem upgrade	1	Gem Upgrade					2	"g$d,qty=2"							g$e																																																																																										0
gem upgrade	1	Gem Upgrade					2	"9$a,qty=2"							9$b																																																																																										0
gem upgrade	1	Gem Upgrade					2	"9$b,qty=2"							9$c																																																																																										0
gem upgrade	1	Gem Upgrade					2	"9$c,qty=2"							9$d																																																																																										0
gem upgrade	1	Gem Upgrade					2	"9$d,qty=2"							9$e																																																																																										0
gem upgrade	1	Gem Upgrade					2	"7$a,qty=2"							7$b																																																																																										0
gem upgrade	1	Gem Upgrade					2	"7$b,qty=2"							7$c																																																																																										0
gem upgrade	1	Gem Upgrade					2	"7$c,qty=2"							7$d																																																																																										0
gem upgrade	1	Gem Upgrade					2	"7$d,qty=2"							7$e																																																																																										0
gem upgrade	1	Gem Upgrade					2	"5$a,qty=2"							5$b																																																																																										0
gem upgrade	1	Gem Upgrade					2	"5$b,qty=2"							5$c																																																																																										0
gem upgrade	1	Gem Upgrade					2	"5$c,qty=2"							5$d																																																																																										0
gem upgrade	1	Gem Upgrade					2	"5$d,qty=2"							5$e																																																																																										0
rune upgrade: r01 x2 -> r02	1	Rune Upgrade					2	"r01,qty=2"							r02																																																																																								100		0
rune upgrade: r02 x2 -> r03	1	Rune Upgrade					2	"r02,qty=2"							r03																																																																																								100		0
rune upgrade: r03 x2 -> r04	1	Rune Upgrade					2	"r03,qty=2"							r04																																																																																								100		0
rune upgrade: r04 x2 -> r05	1	Rune Upgrade					2	"r04,qty=2"							r05																																																																																								100		0
rune upgrade: r05 x2 -> r06	1	Rune Upgrade					2	"r05,qty=2"							r06																																																																																								100		0
rune upgrade: r06 x2 -> r07	1	Rune Upgrade					2	"r06,qty=2"							r07																																																																																								100		0
rune upgrade: r07 x2 -> r08	1	Rune Upgrade					2	"r07,qty=2"							r08																																																																																								100		0
rune upgrade: r08 x2 -> r09	1	Rune Upgrade					2	"r08,qty=2"							r09																																																																																								100		0
rune upgrade: r09 x2 -> r10	1	Rune Upgrade					2	"r09,qty=2"							r10																																																																																								100		0
rune upgrade: r10 x2 -> r11	1	Rune Upgrade					2	"r10,qty=2"							r11																																																																																								100		0
rune upgrade: r11 x2 -> r12	1	Rune Upgrade					2	"r11,qty=2"							r12																																																																																								100		0
rune upgrade: r12 x2 -> r13	1	Rune Upgrade					2	"r12,qty=2"							r13																																																																																								100		0
rune upgrade: r13 x2 -> r14	1	Rune Upgrade					2	"r13,qty=2"							r14																																																																																								100		0
rune upgrade: r14 x2 -> r15	1	Rune Upgrade					2	"r14,qty=2"							r15																																																																																								100		0
rune upgrade: r15 x2 -> r16	1	Rune Upgrade					2	"r15,qty=2"							r16																																																																																								100		0
rune upgrade: r16 x2 -> r17	1	Rune Upgrade					2	"r16,qty=2"							r17																																																																																								100		0
rune upgrade: r17 x2 -> r18	1	Rune Upgrade					2	"r17,qty=2"							r18																																																																																								100		0
rune upgrade: r18 x2 -> r19	1	Rune Upgrade					2	"r18,qty=2"							r19																																																																																								100		0
rune upgrade: r19 x2 -> r20	1	Rune Upgrade					2	"r19,qty=2"							r20																																																																																								100		0
rune upgrade: r20 x2 -> r21	1	Rune Upgrade					2	"r20,qty=2"							r21																																																																																								100		0
rune upgrade: r21 x2 -> r22	1	Rune Upgrade					2	"r21,qty=2"							r22																																																																																								100		0
rune upgrade: r22 x2 -> r23	1	Rune Upgrade					2	"r22,qty=2"							r23																																																																																								100		0
rune upgrade: r23 x2 -> r24	1	Rune Upgrade					2	"r23,qty=2"							r24																																																																																								100		0
rune upgrade: r24 x2 -> r25	1	Rune Upgrade					2	"r24,qty=2"							r25																																																																																								100		0
rune upgrade: r25 x2 -> r26	1	Rune Upgrade					2	"r25,qty=2"							r26																																																																																								100		0
rune upgrade: r26 x2 -> r27	1	Rune Upgrade					2	"r26,qty=2"							r27																																																																																								100		0
rune upgrade: r27 x2 -> r28	1	Rune Upgrade					2	"r27,qty=2"							r28																																																																																								100		0
rune upgrade: r28 x2 -> r29	1	Rune Upgrade					2	"r28,qty=2"							r29																																																																																								100		0
rune upgrade: r29 x2 -> r30	1	Rune Upgrade					2	"r29,qty=2"							r30																																																																																								100		0
rune upgrade: r30 x2 -> r31	1	Rune Upgrade					2	"r30,qty=2"							r31																																																																																								100		0
rune upgrade: r31 x2 -> r32	1	Rune Upgrade					2	"r31,qty=2"							r32																																																																																								100		0
rune upgrade: r32 x2 -> r33	1	Rune Upgrade					2	"r32,qty=2"							r33																																																																																								100		0
rune upgrade: r33 x2 -> r34	1	Rune Upgrade					2	"r33,qty=2"							r34																																																																																								100		0
rune upgrade: r34 x2 -> r35	1	Rune Upgrade					2	"r34,qty=2"							r35																																																																																								100		0
rune upgrade: r35 x2 -> r36	1	Rune Upgrade					2	"r35,qty=2"							r36																																																																																								100		0
rune upgrade: r36 x2 -> r37	1	Rune Upgrade					2	"r36,qty=2"							r37																																																																																								100		0
rune upgrade: r37 x2 -> r38	1	Rune Upgrade					2	"r37,qty=2"							r38																																																																																								100		0
rune upgrade: r38 x2 -> r39	1	Rune Upgrade					2	"r38,qty=2"							r39																																																																																								100		0
rune upgrade: r39 x2 -> r40	1	Rune Upgrade					2	"r39,qty=2"							r40																																																																																								100		0
rune upgrade: r40 x2 -> r41	1	Rune Upgrade					2	"r40,qty=2"							r41																																																																																								100		0
rune upgrade: r41 x2 -> r42	1	Rune Upgrade					2	"r41,qty=2"							r42																																																																																								100		0
rune upgrade: r42 x2 -> r43	1	Rune Upgrade					2	"r42,qty=2"							r43																																																																																								100		0
rune upgrade: r43 x2 -> r44	1	Rune Upgrade					2	"r43,qty=2"							r44																																																																																								100		0
rune upgrade: r44 x2 -> r45	1	Rune Upgrade					2	"r44,qty=2"							r45																																																																																								100		0
rune upgrade: r45 x2 -> r46	1	Rune Upgrade					2	"r45,qty=2"							r46																																																																																								100		0
